statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Loyola is not a theologist.,loyola,theologist,"theologian, theologiser, theologist, theologizer, saint",false,true,true,false,false,instances
Tyrol is not a writer.,tyrol,writer,"province, state",true,true,true,false,false,instances
Gregory is a catholic pope.,gregory,catholic pope,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",true,false,true,false,false,instances
Jolson is not a vocalist.,jolson,vocalist,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",false,true,true,false,false,instances
Coppola is not a settler.,coppola,settler,"film maker, film producer, filmmaker, movie maker",true,true,true,false,false,instances
Oldfield is a race driver.,oldfield,race driver,"automobile driver, race driver, racer",true,false,true,false,false,instances
Alger is an author.,alger,author,"author, writer",true,false,true,false,false,instances
Johor is not a pontiff.,johor,pontiff,malaysian state,true,true,true,false,false,instances
Redford is an impresario.,redford,impresario,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",false,false,true,false,false,instances
Mozambique is an african country.,mozambique,african country,"african country, african nation",true,false,true,false,false,instances
Mishnah is not a sacred writing.,mishnah,sacred writing,"religious text, religious writing, sacred text, sacred writing",false,true,true,false,false,instances
Herder is not a state.,herder,state,philosopher,true,true,true,false,false,instances
Seville is a port.,seville,port,"metropolis, city, port, urban center",true,false,true,false,false,instances
Toscanini is a music director.,toscanini,music director,"conductor, director, music director",true,false,true,false,false,instances
Mann is metropolis.,mann,metropolis,"educator, pedagog, pedagogue",false,false,true,false,false,instances
Tati is not a movie maker.,tati,movie maker,"film maker, film producer, filmmaker, movie maker",false,true,true,false,false,instances
Haifa is metropolis.,haifa,metropolis,"port, urban center, metropolis, city",true,false,true,false,false,instances
Loyola is not a theologiser.,loyola,theologiser,"theologian, theologiser, theologist, theologizer, saint",false,true,true,false,false,instances
Friedman is a formal garden.,friedman,formal garden,"economic expert, economist",false,false,true,false,false,instances
Richelieu is an executive.,richelieu,executive,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",false,false,true,false,false,instances
Coppola is not a film producer.,coppola,film producer,"film maker, film producer, filmmaker, movie maker",false,true,true,false,false,instances
Owens is not an athlete.,owens,athlete,"athlete, jock",false,true,true,false,false,instances
Graf is tennis player.,graf,tennis player,tennis player,true,false,true,false,false,instances
Willamette is a river.,willamette,river,river,true,false,true,false,false,instances
Tyrol is not a province.,tyrol,province,"province, state",false,true,true,false,false,instances
PRC is not an asian nation.,PRC,asian nation,"asian nation, asian country",false,true,true,false,false,instances
Lewis is an actor.,lewis,actor,"author, writer",false,false,true,false,false,instances
Klein is not a scholar.,klein,scholar,"clothes designer, couturier, fashion designer, designer",true,true,true,false,false,instances
Loyola is a state capital.,loyola,state capital,"theologian, theologiser, theologist, theologizer, saint",false,false,true,false,false,instances
Djibouti is fictitious character.,djibouti,fictitious character,"african nation, african country",false,false,true,false,false,instances
Lowlands is a lowland.,lowlands,lowland,lowland,true,false,true,false,false,instances
Schweitzer is an organist.,schweitzer,organist,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",true,false,true,false,false,instances
Sydenham is an old master.,sydenham,old master,"doc, doctor, dr., md, medico, physician",false,false,true,false,false,instances
Lithuania is not a geographic area.,lithuania,geographic area,"baltic state, baltic republic",true,true,true,false,false,instances
Carolina is not a geographical area.,carolina,geographical area,"geographical region, geographic region, geographic area, geographical area",false,true,true,false,false,instances
Richelieu is not a solon.,richelieu,solon,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",false,true,true,false,false,instances
TT is a civil rights activist.,TT,civil rights activist,"country, state, land",false,false,true,false,false,instances
Goodman is a clarinettist.,goodman,clarinettist,"bandleader, clarinetist, clarinettist",true,false,true,false,false,instances
Turpin is not an island.,turpin,island,"highjacker, highwayman, hijacker, road agent",true,true,true,false,false,instances
Richelieu is a geographic area.,richelieu,geographic area,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",false,false,true,false,false,instances
Duncan is not a professional dancer.,duncan,professional dancer,"dancer, professional dancer, terpsichorean",false,true,true,false,false,instances
Jonson is a dramatist.,jonson,dramatist,"dramatist, playwright, poet",true,false,true,false,false,instances
Arabia is not a peninsula.,arabia,peninsula,peninsula,false,true,true,false,false,instances
Owens is not a revolutionary.,owens,revolutionary,"athlete, jock",true,true,true,false,false,instances
Turpin is not an emperor of rome.,turpin,emperor of rome,"highjacker, highwayman, hijacker, road agent",true,true,true,false,false,instances
Tarkovsky is not a film producer.,tarkovsky,film producer,"film maker, film producer, filmmaker, movie maker",false,true,true,false,false,instances
Schweitzer is a linguist.,schweitzer,linguist,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",false,false,true,false,false,instances
TT is a state.,TT,state,"country, state, land",true,false,true,false,false,instances
Monet is a central american nation.,monet,central american nation,painter,false,false,true,false,false,instances
Vitus is a writer.,vitus,writer,"martyr, saint",false,false,true,false,false,instances
Gambia is a museum.,gambia,museum,"african country, african nation",false,false,true,false,false,instances
Barrie is a technologist.,barrie,technologist,"dramatist, playwright",false,false,true,false,false,instances
Fawkes is a machinator.,fawkes,machinator,"coconspirator, conspirator, machinator, plotter",true,false,true,false,false,instances
Thales is not a president.,thales,president,"astronomer, philosopher, stargazer, uranologist",true,true,true,false,false,instances
Mandelstam is not a man of affairs.,mandelstam,man of affairs,poet,true,true,true,false,false,instances
Schweitzer is a doctor.,schweitzer,doctor,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",true,false,true,false,false,instances
Redford is not a nobleman.,redford,nobleman,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",true,true,true,false,false,instances
Aquinas is not a saint.,aquinas,saint,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",false,true,true,false,false,instances
Menuhin is not a museum.,menuhin,museum,"fiddler, violinist",true,true,true,false,false,instances
Marciano is a weird sister.,marciano,weird sister,"gladiator, prizefighter",false,false,true,false,false,instances
Campbell is a baby doctor.,campbell,baby doctor,mythologist,false,false,true,false,false,instances
Coppola is a filmmaker.,coppola,filmmaker,"film maker, film producer, filmmaker, movie maker",true,false,true,false,false,instances
Matthew is not an evangelist.,matthew,evangelist,"apostle, evangelist, saint",false,true,true,false,false,instances
Hildebrand is a mythologist.,hildebrand,mythologist,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",false,false,true,false,false,instances
Mozambique is not an african nation.,mozambique,african nation,"african country, african nation",false,true,true,false,false,instances
Gregory is not a holy father.,gregory,holy father,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",false,true,true,false,false,instances
Haifa is a meliorist.,haifa,meliorist,"port, urban center, metropolis, city",false,false,true,false,false,instances
Coppola is a film maker.,coppola,film maker,"film maker, film producer, filmmaker, movie maker",true,false,true,false,false,instances
Shostakovich is not a composer.,shostakovich,composer,composer,false,true,true,false,false,instances
Quechua is not a brain doctor.,quechua,brain doctor,community,true,true,true,false,false,instances
Barrie is not a meliorist.,barrie,meliorist,"dramatist, playwright",true,true,true,false,false,instances
Reiter is not a bacteriologist.,reiter,bacteriologist,bacteriologist,false,true,true,false,false,instances
Morton is not a jazz musician.,morton,jazz musician,"jazz musician, jazzman",false,true,true,false,false,instances
Schweitzer is not a physician.,schweitzer,physician,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",false,true,true,false,false,instances
Kline is a painter.,kline,painter,painter,true,false,true,false,false,instances
Sydenham is not a saint.,sydenham,saint,"doc, doctor, dr., md, medico, physician",true,true,true,false,false,instances
Seville is not a port.,seville,port,"metropolis, city, port, urban center",false,true,true,false,false,instances
Warsaw is a national capital.,warsaw,national capital,national capital,true,false,true,false,false,instances
Loyola is not a hierarch.,loyola,hierarch,"theologian, theologiser, theologist, theologizer, saint",true,true,true,false,false,instances
Cash is not an engineer.,cash,engineer,"vocalizer, vocalist, vocaliser, singer",true,true,true,false,false,instances
Dixieland is not a conspirator.,dixieland,conspirator,"geographic region, geographical area, geographical region, geographic area",true,true,true,false,false,instances
Debs is not an organiser.,debs,organiser,"labor organizer, organiser, organizer",false,true,true,false,false,instances
Thales is not a pianist.,thales,pianist,"astronomer, philosopher, stargazer, uranologist",true,true,true,false,false,instances
Owens is a diplomatist.,owens,diplomatist,"athlete, jock",false,false,true,false,false,instances
Lowlands is not a lowland.,lowlands,lowland,lowland,false,true,true,false,false,instances
Algiers is a national capital.,algiers,national capital,"national capital, port",true,false,true,false,false,instances
Gregory is not a roman catholic pope.,gregory,roman catholic pope,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",false,true,true,false,false,instances
Bushnell is a discoverer.,bushnell,discoverer,"artificer, discoverer, inventor",true,false,true,false,false,instances
Joffrey is a sea robber.,joffrey,sea robber,choreographer,false,false,true,false,false,instances
Gagarin is not an astronaut.,gagarin,astronaut,"astronaut, cosmonaut, spaceman",false,true,true,false,false,instances
Oldfield is not a race driver.,oldfield,race driver,"automobile driver, race driver, racer",false,true,true,false,false,instances
Aquinas is not a theologian.,aquinas,theologian,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",false,true,true,false,false,instances
Sydenham is not a navigator.,sydenham,navigator,"doc, doctor, dr., md, medico, physician",true,true,true,false,false,instances
Thales is not a lord.,thales,lord,"astronomer, philosopher, stargazer, uranologist",true,true,true,false,false,instances
Spock is not a double star.,spock,double star,"baby doctor, paediatrician, pediatrician, pediatrist",true,true,true,false,false,instances
Obama is not a playwright.,obama,playwright,"chief executive, president, president of the united states, united states president",true,true,true,false,false,instances
Schweitzer is a md.,schweitzer,md,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",true,false,true,false,false,instances
Rigel is not a double star.,rigel,double star,"binary, binary star, double star",false,true,true,false,false,instances
Meyerbeer is a promoter.,meyerbeer,promoter,composer,false,false,true,false,false,instances
Jolson is not a singer.,jolson,singer,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",false,true,true,false,false,instances
Johnson is not a lexicographer.,johnson,lexicographer,"writer, lexicographer, lexicologist, author",false,true,true,false,false,instances
Ukraine is a moneyman.,ukraine,moneyman,"land, country, state",false,false,true,false,false,instances
Alger is not a writer.,alger,writer,"author, writer",false,true,true,false,false,instances
Dixieland is a geographical area.,dixieland,geographical area,"geographic region, geographical area, geographical region, geographic area",true,false,true,false,false,instances
Solferino is not a planet.,solferino,planet,pitched battle,true,true,true,false,false,instances
Schweitzer is not a high priest.,schweitzer,high priest,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",true,true,true,false,false,instances
Trotsky is an eon.,trotsky,eon,"bolshevik, bolshevist, revolutionary, revolutionist, subversive, subverter",false,false,true,false,false,instances
Mann is not a pedagogue.,mann,pedagogue,"educator, pedagog, pedagogue",false,true,true,false,false,instances
Caracas is not a linguistic scientist.,caracas,linguistic scientist,national capital,true,true,true,false,false,instances
Sydenham is not a filmmaker.,sydenham,filmmaker,"doc, doctor, dr., md, medico, physician",true,true,true,false,false,instances
Hertz is not a pedagog.,hertz,pedagog,nuclear physicist,true,true,true,false,false,instances
Gambia is not a constellation.,gambia,constellation,"african country, african nation",true,true,true,false,false,instances
Chennai is not a diplomat.,chennai,diplomat,"city, metropolis, urban center",true,true,true,false,false,instances
Redford is not a film maker.,redford,film maker,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",false,true,true,false,false,instances
Crichton is not a bookman.,crichton,bookman,"bookman, scholar, scholarly person, student",false,true,true,false,false,instances
Cracow is a road agent.,cracow,road agent,"city, metropolis, urban center",false,false,true,false,false,instances
Dix is a reformist.,dix,reformist,"crusader, meliorist, reformer, reformist, social reformer",true,false,true,false,false,instances
Owens is an athlete.,owens,athlete,"athlete, jock",true,false,true,false,false,instances
Roma is a mythologist.,roma,mythologist,national capital,false,false,true,false,false,instances
Browne is not a statue maker.,browne,statue maker,illustrator,true,true,true,false,false,instances
Agrippina is a roman.,agrippina,roman,roman,true,false,true,false,false,instances
Hertz is not a nuclear physicist.,hertz,nuclear physicist,nuclear physicist,false,true,true,false,false,instances
Lena is a navigator.,lena,navigator,river,false,false,true,false,false,instances
Solferino is a theologist.,solferino,theologist,pitched battle,false,false,true,false,false,instances
Oaxaca is not an educator.,oaxaca,educator,"city, metropolis, urban center",true,true,true,false,false,instances
Trotsky is a revolutionary.,trotsky,revolutionary,"bolshevik, bolshevist, revolutionary, revolutionist, subversive, subverter",true,false,true,false,false,instances
Lazio is a sea robber.,lazio,sea robber,italian region,false,false,true,false,false,instances
Dulles is a diplomat.,dulles,diplomat,"diplomat, diplomatist",true,false,true,false,false,instances
Nansen is a king of great britain.,nansen,king of great britain,"adventurer, explorer, national leader, solon, statesman",false,false,true,false,false,instances
TT is a country.,TT,country,"country, state, land",true,false,true,false,false,instances
Gregory is not a chief executive.,gregory,chief executive,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",true,true,true,false,false,instances
Thailand is an asian country.,thailand,asian country,"asian country, asian nation",true,false,true,false,false,instances
