statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Arteriosclerosis is not a synonym of a hardening of the arteries.,arteriosclerosis,hardening of the arteries,"arterial sclerosis, coronary-artery disease, hardening of the arteries, induration of the arteries",false,true,true,false,false,synonyms
Peril is a synonym of a twitter.,peril,twitter,"endangerment, hazard, jeopardy, risk",false,false,true,false,false,synonyms
Starship is a synonym of a spaceship.,starship,spaceship,spaceship,true,false,true,false,false,synonyms
Fate is not a synonym of a loot.,fate,loot,"circumstances, destiny, fortune, lot, luck, portion",true,true,true,false,false,synonyms
Fluorescein is a synonym of gladiolus.,fluorescein,gladiolus,"fluoresceine, fluorescent dye, resorcinolphthalein",false,false,true,false,false,synonyms
Kapok is not a synonym of a vegetable silk.,kapok,vegetable silk,"silk cotton, vegetable silk",false,true,true,false,false,synonyms
Trine is not a synonym of a trey.,trine,trey,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",false,true,true,false,false,synonyms
Bunch is not a synonym of a clump.,bunch,clump,"clump, cluster, clustering",false,true,true,false,false,synonyms
Shootout is not a synonym of a gunfight.,shootout,gunfight,"gunfight, gunplay",false,true,true,false,false,synonyms
Insistence is not a synonym of a mammy.,insistence,mammy,"imperativeness, insistency, press, pressure",true,true,true,false,false,synonyms
Liter is not a synonym of a slugger.,liter,slugger,"cubic decimeter, cubic decimetre, l, litre",true,true,true,false,false,synonyms
Hemoptysis is not a synonym of haemoptysis.,hemoptysis,haemoptysis,haemoptysis,false,true,true,false,false,synonyms
Fist is a synonym of a clenched fist.,fist,clenched fist,clenched fist,true,false,true,false,false,synonyms
Merchandise is not a synonym of a ware.,merchandise,ware,"product, ware",false,true,true,false,false,synonyms
Procurement is a synonym of a procural.,procurement,procural,"procural, procurance",true,false,true,false,false,synonyms
Imp is a synonym of a gremlin.,imp,gremlin,"brownie, elf, gremlin, hob, pixie, pixy",true,false,true,false,false,synonyms
Breakout is a synonym of a gadget.,breakout,gadget,"break, gaolbreak, jailbreak, prison-breaking, prisonbreak",false,false,true,false,false,synonyms
Immunosuppressant is a synonym of a chittem bark.,immunosuppressant,chittem bark,"immune suppressant drug, immunosuppressive, immunosuppressive drug, immunosuppressor",false,false,true,false,false,synonyms
Testicle is not a synonym of a ballock.,testicle,ballock,"ball, ballock, bollock, egg, nut, orchis, testis",false,true,true,false,false,synonyms
Desegregation is a synonym of a nap.,desegregation,nap,"integrating, integration",false,false,true,false,false,synonyms
Meg is not a synonym of a one thousand thousand.,meg,one thousand thousand,"1000000, million, one thousand thousand",false,true,true,false,false,synonyms
Greening is not a synonym of a connection.,greening,connection,rejuvenation,true,true,true,false,false,synonyms
Kava is not a synonym of a yelping.,kava,yelping,kavakava,true,true,true,false,false,synonyms
Moonflower is a synonym of a pubic bone.,moonflower,pubic bone,"belle de nuit, ipomoea alba",false,false,true,false,false,synonyms
Ravelling is not a synonym of an atmospheric static.,ravelling,atmospheric static,raveling,true,true,true,false,false,synonyms
Grandmother is a synonym of an undulant fever.,grandmother,undulant fever,"gran, grandma, grannie, granny, nan, nanna",false,false,true,false,false,synonyms
Transparency is a synonym of a transparence.,transparency,transparence,transparence,true,false,true,false,false,synonyms
Adjutant is not a synonym of a sunray.,adjutant,sunray,"adjutant bird, adjutant stork, leptoptilus dubius",true,true,true,false,false,synonyms
Twat is not a synonym of a cunt.,twat,cunt,"cunt, puss, pussy, slit, snatch",false,true,true,false,false,synonyms
Anteroom is a synonym of a foyer.,anteroom,foyer,"antechamber, entrance hall, foyer, hall, lobby, vestibule",true,false,true,false,false,synonyms
Sphenoid is not a synonym of a priming coat.,sphenoid,priming coat,"os sphenoidale, sphenoid bone",true,true,true,false,false,synonyms
Oculist is not a synonym of an optometrist.,oculist,optometrist,optometrist,false,true,true,false,false,synonyms
Turnabout is a synonym of a turnaround.,turnabout,turnaround,"reversal, reverse, reversion, turnaround",true,false,true,false,false,synonyms
Tailing is a synonym of a lowerclassman.,tailing,lowerclassman,shadowing,false,false,true,false,false,synonyms
Ticker is a synonym of a heart.,ticker,heart,"heart, pump",true,false,true,false,false,synonyms
Formatting is not a synonym of data formatting.,formatting,data formatting,"data format, data formatting, format",false,true,true,false,false,synonyms
Quasar is a synonym of a quasi-stellar radio source.,quasar,quasi-stellar radio source,quasi-stellar radio source,true,false,true,false,false,synonyms
Fluorescein is a synonym of a hose.,fluorescein,hose,"fluoresceine, fluorescent dye, resorcinolphthalein",false,false,true,false,false,synonyms
Docker is not a synonym of balladeer.,docker,balladeer,"dock-walloper, dock worker, dockhand, dockworker, loader, longshoreman, lumper, stevedore",true,true,true,false,false,synonyms
Sheepherder is not a synonym of a shepherd.,sheepherder,shepherd,"sheepman, shepherd",false,true,true,false,false,synonyms
Trine is not a synonym of a 3.,trine,3,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",false,true,true,false,false,synonyms
Foundry is a synonym of metalworks.,foundry,metalworks,metalworks,true,false,true,false,false,synonyms
Docker is not a synonym of a longshoreman.,docker,longshoreman,"dock-walloper, dock worker, dockhand, dockworker, loader, longshoreman, lumper, stevedore",false,true,true,false,false,synonyms
Leukemia is a synonym of a leucaemia.,leukemia,leucaemia,"cancer of the blood, leucaemia, leukaemia",true,false,true,false,false,synonyms
Sunup is a synonym of an acromegaly.,sunup,acromegaly,"aurora, break of day, break of the day, cockcrow, dawn, dawning, daybreak, dayspring, first light, morning, sunrise",false,false,true,false,false,synonyms
Crooner is not a synonym of an arterial sclerosis.,crooner,arterial sclerosis,balladeer,true,true,true,false,false,synonyms
Clod is not a synonym of a chunk.,clod,chunk,"ball, chunk, clump, glob, lump",false,true,true,false,false,synonyms
Turboprop is not a synonym of an overwork.,turboprop,overwork,"propjet, turbo-propeller plane",true,true,true,false,false,synonyms
Cony is a synonym of a decoration.,cony,decoration,"coney, mouse hare, pika, rock rabbit",false,false,true,false,false,synonyms
Hammering is not a synonym of a pound.,hammering,pound,"hammer, pound, pounding",false,true,true,false,false,synonyms
Finality is not a synonym of conclusiveness.,finality,conclusiveness,"conclusiveness, decisiveness",false,true,true,false,false,synonyms
Superstar is a synonym of fearfulness.,superstar,fearfulness,"ace, adept, champion, genius, hotshot, maven, mavin, sensation, star, virtuoso, whizz, whiz, wiz, wizard",false,false,true,false,false,synonyms
Sunup is a synonym of a glyoxaline.,sunup,glyoxaline,"aurora, break of day, break of the day, cockcrow, dawn, dawning, daybreak, dayspring, first light, morning, sunrise",false,false,true,false,false,synonyms
Corsage is not a synonym of a gismo.,corsage,gismo,"bouquet, nosegay, posy",true,true,true,false,false,synonyms
Whatchamacallit is not a synonym of a gizmo.,whatchamacallit,gizmo,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",false,true,true,false,false,synonyms
Husbandry is not a synonym of a farming.,husbandry,farming,"agriculture, farming",false,true,true,false,false,synonyms
Finality is not a synonym of decisiveness.,finality,decisiveness,"conclusiveness, decisiveness",false,true,true,false,false,synonyms
Grimness is a synonym of a severity.,grimness,severity,"asperity, hardship, rigor, rigorousness, rigour, rigourousness, severeness, severity",true,false,true,false,false,synonyms
Civet is a synonym of an irrelevance.,civet,irrelevance,civet cat,false,false,true,false,false,synonyms
Amoy is a synonym of a hormone-replacement therapy.,amoy,hormone-replacement therapy,"fukien, fukkianese, hokkianese, min, min dialect, taiwanese",false,false,true,false,false,synonyms
Windsock is a synonym of a gelt.,windsock,gelt,"air-sleeve, air sock, drogue, sock, wind cone, wind sleeve, wind sock",false,false,true,false,false,synonyms
Exhibitionist is not a synonym of a flasher.,exhibitionist,flasher,flasher,false,true,true,false,false,synonyms
Disablement is not a synonym of a disability.,disablement,disability,"disability, handicap, impairment",false,true,true,false,false,synonyms
Hangout is not a synonym of a stamping ground.,hangout,stamping ground,"haunt, repair, resort, stamping ground",false,true,true,false,false,synonyms
Sadness is not a synonym of sorrowfulness.,sadness,sorrowfulness,"sorrow, sorrowfulness",false,true,true,false,false,synonyms
Chiding is a synonym of a scolding.,chiding,scolding,"objurgation, scolding, tongue-lashing",true,false,true,false,false,synonyms
Qualifying is a synonym of an anthracite coal.,qualifying,anthracite coal,"limiting, modification",false,false,true,false,false,synonyms
Assembler is not a synonym of a foot doctor.,assembler,foot doctor,assembly program,true,true,true,false,false,synonyms
Software is a synonym of a magnificence.,software,magnificence,"computer software, package, software package, software program, software system",false,false,true,false,false,synonyms
Osmium is a synonym of a foot doctor.,osmium,foot doctor,"atomic number 76, os",false,false,true,false,false,synonyms
Delegation is not a synonym of a reflection factor.,delegation,reflection factor,"delegating, deputation, relegating, relegation",true,true,true,false,false,synonyms
Rumor is a synonym of an attendant.,rumor,attendant,"hearsay, rumour",false,false,true,false,false,synonyms
Pseudomonas is not a synonym of troublesomeness.,pseudomonas,troublesomeness,genus pseudomonas,true,true,true,false,false,synonyms
Bacchanalia is not a synonym of a drunken revelry.,bacchanalia,drunken revelry,"bacchanal, debauch, debauchery, drunken revelry, orgy, riot, saturnalia",false,true,true,false,false,synonyms
Clod is a synonym of a glob.,clod,glob,"ball, chunk, clump, glob, lump",true,false,true,false,false,synonyms
Eyeglass is not a synonym of a monocle.,eyeglass,monocle,monocle,false,true,true,false,false,synonyms
Farfalle is a synonym of an episcopate.,farfalle,episcopate,bowtie pasta,false,false,true,false,false,synonyms
Viscera is not a synonym of brazenness.,viscera,brazenness,"entrails, innards",true,true,true,false,false,synonyms
Learning is not a synonym of an encyclopedism.,learning,encyclopedism,"encyclopaedism, encyclopedism, eruditeness, erudition, learnedness, scholarship",false,true,true,false,false,synonyms
Software is not a synonym of a treat.,software,treat,"computer software, package, software package, software program, software system",true,true,true,false,false,synonyms
Guncotton is not a synonym of a rigamarole.,guncotton,rigamarole,"cellulose nitrate, nitrocellulose, nitrocotton",true,true,true,false,false,synonyms
Rusk is a synonym of brussels biscuit.,rusk,brussels biscuit,"brussels biscuit, twice-baked bread, zwieback",true,false,true,false,false,synonyms
Undercoat is not a synonym of a flat coat.,undercoat,flat coat,"flat coat, ground, primer, primer coat, priming, priming coat",false,true,true,false,false,synonyms
Consumption is not a synonym of a zero.,consumption,zero,"phthisis, pulmonary tuberculosis, wasting disease, white plague",true,true,true,false,false,synonyms
Ponderosa is not a synonym of a bull pine.,ponderosa,bull pine,"bull pine, pinus ponderosa, ponderosa pine, western yellow pine",false,true,true,false,false,synonyms
Comportment is not a synonym of a bearing.,comportment,bearing,"bearing, mien, presence",false,true,true,false,false,synonyms
Chiding is a synonym of an objurgation.,chiding,objurgation,"objurgation, scolding, tongue-lashing",true,false,true,false,false,synonyms
Haloperidol is a synonym of a haldol.,haloperidol,haldol,haldol,true,false,true,false,false,synonyms
Carnage is a synonym of a harem.,carnage,harem,"butchery, mass murder, massacre, slaughter",false,false,true,false,false,synonyms
Fate is a synonym of a despondence.,fate,despondence,"circumstances, destiny, fortune, lot, luck, portion",false,false,true,false,false,synonyms
Wainscot is not a synonym of directness.,wainscot,directness,"wainscoting, wainscotting",true,true,true,false,false,synonyms
Patriotism is not a synonym of a nationalism.,patriotism,nationalism,nationalism,false,true,true,false,false,synonyms
Corsage is not a synonym of a posy.,corsage,posy,"bouquet, nosegay, posy",false,true,true,false,false,synonyms
Batsman is a synonym of a serving.,batsman,serving,"batter, hitter, slugger",false,false,true,false,false,synonyms
Directness is not a synonym of candidness.,directness,candidness,"candidness, candor, candour, forthrightness, frankness",false,true,true,false,false,synonyms
Brainiac is not a synonym of a liquaemin.,brainiac,liquaemin,"brain, einstein, genius, mastermind",true,true,true,false,false,synonyms
Privatisation is not a synonym of a denationalisation.,privatisation,denationalisation,"denationalisation, denationalization, privatization",false,true,true,false,false,synonyms
Caseworker is a synonym of trichechus manatus.,caseworker,trichechus manatus,"social worker, welfare worker",false,false,true,false,false,synonyms
Mizzen is a synonym of an advertisement.,mizzen,advertisement,"mizen, mizenmast, mizzenmast",false,false,true,false,false,synonyms
Jaybird is not a synonym of a cyanocitta cristata.,jaybird,cyanocitta cristata,"blue jay, cyanocitta cristata",false,true,true,false,false,synonyms
Slobber is not a synonym of a drool.,slobber,drool,"dribble, drivel, drool",false,true,true,false,false,synonyms
Housefly is a synonym of an immunosuppressor.,housefly,immunosuppressor,"house fly, musca domestica",false,false,true,false,false,synonyms
Sycamore is a synonym of a bouquet.,sycamore,bouquet,"acer pseudoplatanus, great maple, scottish maple",false,false,true,false,false,synonyms
Praseodymium is not a synonym of a pr.,praseodymium,pr,"atomic number 59, pr",false,true,true,false,false,synonyms
Scrubbing is not a synonym of a scouring.,scrubbing,scouring,"scouring, scrub",false,true,true,false,false,synonyms
Bedclothes is a synonym of a bedding.,bedclothes,bedding,"bed clothing, bedding",true,false,true,false,false,synonyms
Amoy is a synonym of a trickery.,amoy,trickery,"fukien, fukkianese, hokkianese, min, min dialect, taiwanese",false,false,true,false,false,synonyms
Compulsion is a synonym of brussels biscuit.,compulsion,brussels biscuit,obsession,false,false,true,false,false,synonyms
Grapple is not a synonym of a chittem bark.,grapple,chittem bark,"grappling, hand-to-hand struggle, wrestle, wrestling",true,true,true,false,false,synonyms
Dilemma is not a synonym of a quandary.,dilemma,quandary,quandary,false,true,true,false,false,synonyms
Eyehole is not a synonym of a disfunction.,eyehole,disfunction,"peephole, spyhole",true,true,true,false,false,synonyms
Grime is not a synonym of a cabin car.,grime,cabin car,"dirt, filth, grease, grunge, soil, stain",true,true,true,false,false,synonyms
Aphorism is a synonym of a trinity.,aphorism,trinity,"apophthegm, apothegm",false,false,true,false,false,synonyms
Relapse is a synonym of a reversion.,relapse,reversion,"backsliding, lapse, lapsing, relapsing, reversion, reverting",true,false,true,false,false,synonyms
Formatting is a synonym of a germ.,formatting,germ,"data format, data formatting, format",false,false,true,false,false,synonyms
Rusk is a synonym of somberness.,rusk,somberness,"brussels biscuit, twice-baked bread, zwieback",false,false,true,false,false,synonyms
Hertz is a synonym of a cycle.,hertz,cycle,"cps, cycle, cycle per second, cycles/second, hz",true,false,true,false,false,synonyms
Twat is a synonym of a slit.,twat,slit,"cunt, puss, pussy, slit, snatch",true,false,true,false,false,synonyms
Entirety is a synonym of a dirty dog.,entirety,dirty dog,"entireness, integrality, totality",false,false,true,false,false,synonyms
Turmoil is not a synonym of a confabulation.,turmoil,confabulation,"agitation, excitement, hullabaloo, upheaval",true,true,true,false,false,synonyms
Adjutant is a synonym of an adjutant stork.,adjutant,adjutant stork,"adjutant bird, adjutant stork, leptoptilus dubius",true,false,true,false,false,synonyms
Pes is a synonym of hypothesis.,pes,hypothesis,"foot, human foot",false,false,true,false,false,synonyms
Quadruplet is a synonym of fruitfulness.,quadruplet,fruitfulness,"4, four, foursome, iv, little joe, quartet, quatern, quaternary, quaternion, quaternity, tetrad",false,false,true,false,false,synonyms
Tv is not a synonym of a fukien.,tv,fukien,"boob tube, goggle box, idiot box, television, television receiver, television set, telly, tv set",true,true,true,false,false,synonyms
Anthracite is not a synonym of an anthracite coal.,anthracite,anthracite coal,"anthracite coal, hard coal",false,true,true,false,false,synonyms
Lubricant is a synonym of a lube.,lubricant,lube,"lube, lubricating substance, lubricator",true,false,true,false,false,synonyms
Disability is a synonym of a disablement.,disability,disablement,"disablement, handicap, impairment",true,false,true,false,false,synonyms
Maidservant is a synonym of a blood corpuscle.,maidservant,blood corpuscle,"amah, housemaid, maid",false,false,true,false,false,synonyms
Immunosuppressant is not a synonym of a crux of the matter.,immunosuppressant,crux of the matter,"immune suppressant drug, immunosuppressive, immunosuppressive drug, immunosuppressor",true,true,true,false,false,synonyms
Dexterity is a synonym of a gizmo.,dexterity,gizmo,"manual dexterity, sleight",false,false,true,false,false,synonyms
Holiness is not a synonym of a sanctitude.,holiness,sanctitude,"sanctitude, sanctity",false,true,true,false,false,synonyms
Typeface is a synonym of a font.,typeface,font,"case, face, font, fount",true,false,true,false,false,synonyms
Comportment is a synonym of a mutilation.,comportment,mutilation,"bearing, mien, presence",false,false,true,false,false,synonyms
Grasp is a synonym of a hold.,grasp,hold,"appreciation, hold",true,false,true,false,false,synonyms
Housecoat is not a synonym of a neglige.,housecoat,neglige,"neglige, negligee, peignoir, wrapper",false,true,true,false,false,synonyms
Morals is a synonym of a woodland.,morals,woodland,"ethical motive, ethics, morality",false,false,true,false,false,synonyms
Aeon is a synonym of a scrub.,aeon,scrub,eon,false,false,true,false,false,synonyms
Pervert is not a synonym of a degenerate.,pervert,degenerate,"degenerate, deviant, deviate",false,true,true,false,false,synonyms
Booze is a synonym of a nonremittal.,booze,nonremittal,"hard drink, hard liquor, john barleycorn, liquor, spirits, strong drink",false,false,true,false,false,synonyms
Belligerence is a synonym of an attender.,belligerence,attender,"aggressiveness, pugnacity",false,false,true,false,false,synonyms
Tansy is a synonym of a golden buttons.,tansy,golden buttons,"golden buttons, scented fern, tanacetum vulgare",true,false,true,false,false,synonyms
Springbok is not a synonym of antidorcas euchore.,springbok,antidorcas euchore,"antidorcas euchore, antidorcas marsupialis, springbuck",false,true,true,false,false,synonyms
Wellbeing is not a synonym of decisiveness.,wellbeing,decisiveness,"eudaemonia, eudaimonia, upbeat, welfare, well-being",true,true,true,false,false,synonyms
